City,Year,Month,Pollutant,N,N_valid,N_missing,Mean,SD,Median,P25,P75,IQR,Min,Max
Amman,2017,4,PM10,30,30,0,79.17697712862078,49.78049814432152,61.09166666666667,46.07083333333333,98.18750000000003,52.116666666666696,30.5551450684236,239.3333333333333
Amman,2017,4,NO2,30,30,0,20.0043803613355,4.377169222476877,19.751666666666665,17.787916666666664,23.11708333333333,5.329166666666666,10.88666666666666,27.46666666666667
Amman,2017,4,SO2,30,30,0,6.184175997169173,2.455947331696094,5.9425,4.446875,7.89375,3.4468749999999995,1.8325,12.0375
Amman,2017,5,PM10,31,31,0,63.577324134499186,23.1365409581969,58.1135113597339,49.849999999999994,71.65,21.80000000000001,35.78333333333333,140.2833333333333
Amman,2017,5,NO2,31,31,0,19.06081550013827,4.667594483872632,17.99333333333333,14.76166666666667,23.015,8.25333333333333,9.986666666666666,28.88958333333333
Amman,2017,5,SO2,31,31,0,6.384062896715021,2.853442003251379,5.2925,3.8449999999999998,8.57,4.7250000000000005,2.89,12.3625
Amman,2017,6,PM10,30,30,0,48.45250128285552,9.934257045705973,47.00000000000001,42.429166666666674,51.37450498602949,8.945338319362818,31.63765127138653,72.26666666666667
Amman,2017,6,NO2,30,30,0,20.41324380344582,4.503392903042627,20.573333333333338,16.947291666666665,23.209821314854494,6.262529648187829,10.19196958520087,29.66768183502025
Amman,2017,6,SO2,30,30,0,4.587649919995058,2.201411937089103,3.865,3.1081931524488287,5.4575000000000005,2.349306847551172,1.7975,10.8456022383827
Amman,2017,7,PM10,31,31,0,55.69472502522368,11.650816152913146,54.74060419939479,48.987350241084826,61.98856372112925,13.001213480044427,36.14140044651977,87.2313203273561
Amman,2017,7,NO2,31,31,0,18.656292462365602,4.335520830051784,18.98013210136148,15.066754008704919,21.50326085149781,6.436506842792891,10.83833333333333,25.72833333333334
Amman,2017,7,SO2,31,31,0,4.970330079445826,2.2919970470625226,4.1775,3.0368985634211834,6.98835951448217,3.9514609510609864,1.1375,9.85
Amman,2017,8,PM10,31,31,0,52.67614247311829,7.9404648851449,52.15,46.108333333333334,57.90833333333333,11.799999999999997,40.33333333333334,71.51666666666667
Amman,2017,8,NO2,31,31,0,16.70770161290322,2.929996209529702,15.79666666666667,14.821666666666665,19.231666666666662,4.409999999999997,12.42833333333333,23.00333333333333
Amman,2017,8,SO2,31,31,0,3.5279838709677422,1.3284794596572365,3.42,2.6587500000000004,4.61625,1.9574999999999996,1.2525,5.9925
Amman,2017,9,PM10,30,30,0,59.777013888888895,20.0742319608509,57.05000000000001,42.65,67.61666666666666,24.96666666666666,32.15,113.75
Amman,2017,9,NO2,30,30,0,19.29409722222222,5.4950392750315755,17.8975,15.462499999999999,23.827916666666667,8.365416666666668,10.99333333333333,31.1
Amman,2017,9,SO2,30,30,0,4.439008333333333,4.253911918946171,2.59,1.9768750000000002,5.198125,3.22125,0.6377499999999999,17.15
Amman,2017,10,PM10,31,31,0,61.17466397849463,28.989612214506185,61.28333333333333,37.116666666666674,73.30833333333334,36.19166666666666,28.6,142.2166666666667
Amman,2017,10,NO2,31,31,0,19.623360215053758,3.373815040498519,20.26333333333333,16.7675,22.200833333333335,5.433333333333337,14.43041666666667,26.11666666666666
Amman,2017,10,SO2,31,31,0,5.614495967741935,3.9447214678399494,5.2225,2.76625,6.6775,3.9112500000000003,1.4275,17.4875
Amman,2017,11,PM10,30,30,0,97.14549021290668,71.2950353662861,71.36666666666667,43.20416666666667,123.45937500000001,80.25520833333334,30.65,324.5855397205338
Amman,2017,11,NO2,30,30,0,19.930555555555557,3.659417634020308,19.95,18.169166666666673,21.187916666666666,3.0187499999999936,13.37666666666667,29.58333333333333
Amman,2017,11,SO2,30,30,0,8.141416666666666,4.445841479823732,7.25375,4.406874999999999,11.309375,6.9025,2.36,19.545
Amman,2017,12,PM10,31,31,0,94.35893817204303,40.15040935400821,97.68333333333334,63.717708333333334,118.46666666666665,54.74895833333332,28.26666666666667,176.4
Amman,2017,12,NO2,31,31,0,19.3658064516129,4.713781447167518,19.43333333333333,16.683333333333337,22.716666666666665,6.033333333333328,10.88333333333333,27.56666666666667
Amman,2017,12,SO2,31,31,0,14.863064516129034,9.785024925655474,12.2525,5.5475,23.23375,17.68625,2.155,34.85
Amman,2018,1,PM10,31,31,0,63.82787936746163,32.54725307247171,57.18842266230693,37.40727625243264,85.41552823004966,48.00825197761702,23.30762535290082,146.8277899039079
Amman,2018,1,NO2,31,31,0,17.108918642456487,4.219480840781551,17.83166666666667,14.466666666666665,20.417845536265304,5.951178869598639,8.483333333333333,24.59
Amman,2018,1,SO2,31,31,0,7.34717777693886,15.962479243618887,4.463402229006475,2.9901811801059317,6.505632141561998,3.5154509614560663,0.8720361514206957,92.72114310599912
Amman,2018,2,PM10,28,26,2,100.51484640973266,86.09990359424555,69.35,54.22916666666667,111.74441514896154,57.515248482294865,20.62333333333333,385.4036069636866
Amman,2018,2,NO2,28,26,2,21.280834595888187,5.522877925617493,20.098333333333336,18.14333333333333,25.229166666666668,7.085833333333337,11.38166666666667,33.66666666666666
Amman,2018,2,SO2,28,26,2,11.94605729511224,7.129671397271552,8.86375,6.8925,16.224096855632723,9.331596855632723,3.1575,27.5
Amman,2018,3,PM10,31,15,16,101.38520736061436,57.23375727491605,94.01666666666668,58.925,132.19166666666663,73.26666666666664,29.78333333333333,237.8333333333333
Amman,2018,3,NO2,31,15,16,21.606558145992025,5.0477937603942,22.925,19.546666666666667,23.816666666666663,4.269999999999996,12.74166666666667,32.44337218988041
Amman,2018,3,SO2,31,15,16,10.354333333333331,3.149838072179645,9.9675,8.41,12.158750000000001,3.748750000000001,5.045,16.64
Amman,2018,4,PM10,30,30,0,61.90215298516614,30.241099737063077,51.641666666666666,42.1375,67.9875,25.849999999999994,25.78333333333333,141.5
Amman,2018,4,NO2,30,30,0,24.149736651247885,4.180275141004705,23.760754474243875,21.66889736108661,27.804166666666667,6.1352693055800565,16.235,32.86666666666667
Amman,2018,4,SO2,30,30,0,10.051127669249897,4.138904471713101,9.879999999999999,6.966875,11.440000000000001,4.473125000000001,5.155,22.075
Amman,2018,5,PM10,31,31,0,92.44450098603257,64.57584197530274,76.41666666666667,52.54166666666667,110.68113495273325,58.139468286066574,29.1,347.336690987609
Amman,2018,5,NO2,31,31,0,22.082234023668445,4.019916532112019,21.11360403606919,18.735036965278262,24.819166666666668,6.084129701388406,16.52833333333333,31.5
Amman,2018,5,SO2,31,31,0,10.138587118415026,4.225024127843575,10.04,6.50375,13.78125,7.2775,4.524701104729393,20.23897995630982
Amman,2018,6,PM10,30,30,0,40.323119500508795,11.929594181357217,35.71970305463525,32.80416666666667,46.425,13.62083333333333,25.36666666666666,83.55
Amman,2018,6,NO2,30,30,0,21.17287070714993,4.764178067675348,19.99332292838022,18.461593439975175,23.774619897395638,5.313026457420463,12.31302870210074,34.1659227780349
Amman,2018,6,SO2,30,30,0,6.449222016100581,2.143042484856163,5.660258705486409,4.988522006320881,6.975851928275118,1.9873299219542364,4.2925,12.805
Amman,2018,7,PM10,31,31,0,41.097311827956986,11.52494323660336,38.9,33.325,45.74166666666666,12.416666666666657,26.78333333333333,79.78333333333333
Amman,2018,7,NO2,31,31,0,22.536774193548382,4.955450458566993,22.83833333333333,19.199166666666663,25.55416666666667,6.3550000000000075,14.39,32.885
Amman,2018,7,SO2,31,31,0,6.288552962464031,1.4122247941770103,6.066717126374292,5.142718589259623,6.7543013019107825,1.6115827126511597,4.727380551332885,10.54427624648727
Amman,2018,8,PM10,31,31,0,39.461508719589496,5.464562223733888,38.6,36.900000000000006,41.045188902036486,4.14518890203648,30.21666666666667,56.61666666666667
Amman,2018,8,NO2,31,31,0,21.77418174574484,4.334709898754374,21.43833333333333,18.34166666666667,24.767878544504256,6.426211877837588,14.75833333333333,31.01833333333333
Amman,2018,8,SO2,31,31,0,5.806506114794532,1.0650432998498538,5.414297627255561,5.082720031956573,6.496151447711542,1.4134314157549692,4.397326346797463,8.916907034748808
Amman,2018,9,PM10,30,30,0,49.009740355765956,16.340259927010763,47.5928716516831,38.0125,52.99844340281209,14.98594340281209,27.88333333333333,101.7
Amman,2018,9,NO2,30,30,0,29.57143625154596,10.573920542249008,27.592499999999994,21.95916666666667,37.78127565924541,15.822108992578741,13.39666666666667,50.08562729234821
Amman,2018,9,SO2,30,30,0,8.762433150447121,3.2305713081862826,8.26597109194222,6.158560494501683,10.235486705529429,4.076926211027746,4.96290776689506,18.98253035779398
Amman,2018,10,PM10,31,31,0,75.63048637214915,42.59871995641186,68.0,42.09166666666667,96.875,54.78333333333333,23.22,192.1666666666667
Amman,2018,10,NO2,31,31,0,31.663429349317695,6.12119641206158,30.35,28.270038132911854,34.60666666666667,6.336628533754816,17.185,47.56358953632112
Amman,2018,10,SO2,31,31,0,8.675638589217577,2.9205353373048872,7.581375347506997,6.444997724617038,11.128461229672364,4.683463505055326,5.161557775606271,15.24090057559189
Amman,2018,11,PM10,30,30,0,46.588,19.266704999365285,44.50833333333334,33.841666666666676,53.116666666666674,19.275,24.4,124.8666666666667
Amman,2018,11,NO2,30,30,0,33.715375,4.3984969354936405,34.51666666666667,31.642916666666668,36.708333333333336,5.065416666666668,23.36666666666666,40.4
Amman,2018,11,SO2,30,30,0,10.4743390943319,3.170021010411278,10.0783046411849,7.723606464170825,12.816566009922905,5.09295954575208,5.746256937505024,16.5801470104227
Amman,2018,12,PM10,31,22,9,52.5403589270926,22.40397443831749,51.95104693654969,33.94833333333333,67.88136788443242,33.93303455109909,18.15333333333333,106.5812704048632
Amman,2018,12,NO2,31,22,9,28.867463238757217,4.939637484020461,27.77792960841002,26.47386734011958,33.302596961277544,6.828729621157965,17.54,36.04733053684103
Amman,2018,12,SO2,31,22,9,10.092369967813115,2.846925546045426,10.276780982047548,8.145635283275443,12.365085213897512,4.219449930622069,5.682199348543348,16.17908839097326
Amman,2019,1,PM10,31,31,0,99.6697237825451,56.151138197247086,87.78333333333335,65.74742164362766,130.56666666666666,64.819245023039,14.05333333333333,257.3333333333333
Amman,2019,1,NO2,31,31,0,26.120209937507603,4.9136174950796505,26.83333333333333,22.56083347748052,28.532314579941463,5.971481102460942,15.285,36.45
Amman,2019,1,SO2,31,31,0,12.8137707002948,5.600913414069357,11.1642908878084,8.492535734708294,16.75625,8.263714265291707,4.584525382810835,25.575
Amman,2019,2,PM10,28,28,0,61.17177500095402,41.12634353138707,52.65833333333333,41.675000000000004,72.43333333333334,30.758333333333333,12.77970002671258,221.5
Amman,2019,2,NO2,28,28,0,23.13182723525416,4.120949108565636,24.344166666666666,20.484166666666667,26.23541666666667,5.751250000000002,14.82716732858473,29.21666666666667
Amman,2019,2,SO2,28,28,0,9.01374265202219,4.046109145732338,8.8625,5.353125,10.856250000000001,5.503125000000001,4.074676555746546,17.825
Amman,2019,3,PM10,31,31,0,44.50169507165271,18.276935331631385,43.88333333333333,29.978065785666033,57.53333333333333,27.5552675476673,16.0575836757131,84.50983111794513
Amman,2019,3,NO2,31,29,2,21.306761475394907,3.6417038397997312,21.29166666666667,18.89333333333333,24.19666666666667,5.303333333333338,14.08195926494036,27.34
Amman,2019,3,SO2,31,29,2,8.327086827589666,3.69030450996102,7.955,5.387499999999999,9.8325,4.445,3.9925,16.55
Amman,2019,4,PM10,30,30,0,53.49666209870863,30.634841817158055,44.099999999999994,31.65833333333333,61.19166666666667,29.53333333333334,19.2,159.3333333333333
Amman,2019,4,NO2,30,30,0,24.48314038809765,4.444313908637008,24.4675,20.68208333333333,26.4075,5.725416666666668,17.70166666666667,35.1917604250875
Amman,2019,4,SO2,30,30,0,6.3193023810492726,1.6920167759597209,6.34875,4.628125,7.6975,3.069375,3.635,9.6025
Amman,2019,5,PM10,31,31,0,62.88985265131902,23.692038627050177,62.7,47.284954159516175,76.25,28.965045840483825,22.21666666666667,106.6666666666667
Amman,2019,5,NO2,31,31,0,32.905132627194014,7.394654791455256,33.20920429551858,27.397851995024595,37.687314108013425,10.28946211298883,19.93312431115327,47.43299237390028
Amman,2019,5,SO2,31,31,0,8.417132139043261,4.261215108946884,7.894128915331643,5.609999999999999,9.808255240392963,4.198255240392964,3.461879907270419,23.1749800451716
Amman,2019,6,PM10,30,30,0,44.54654583128838,12.170222392301826,40.91601993310624,35.68020846369138,49.59810568487881,13.917897221187431,30.47385491944674,79.03997411543622
Amman,2019,6,NO2,30,30,0,26.607552384704704,5.043493039835082,26.2567805093043,23.31,30.10392260087043,6.793922600870431,18.42694310898404,37.88830063278198
Amman,2019,6,SO2,30,30,0,4.912503598117277,2.0964708041173923,4.08375,3.48875,5.758749999999999,2.269999999999999,2.797323578188776,10.52436792470154
Amman,2019,7,PM10,31,31,0,39.68933805724298,17.791993356444134,35.24973450694687,31.939406945303364,41.09818864671547,9.158781701412106,25.79900097614777,129.8957867954758
Amman,2019,7,NO2,31,31,0,25.19704610115698,6.593260986786724,24.57223485271811,20.74289641418056,26.948333333333338,6.205436919152778,16.7434900027287,48.38870448615612
Amman,2019,7,SO2,31,31,0,4.587657318598593,1.4137415331660843,4.14,3.7,5.170256623446932,1.4702566234469314,2.967854471359375,9.358393586825958
Amman,2019,8,PM10,31,31,0,35.1393453881696,3.225901425181848,34.91666666666666,33.442299015088835,37.03728718693823,3.594988171849394,28.09590237695478,42.5
Amman,2019,8,NO2,31,30,1,24.577261011837358,5.2256638128804695,23.93934239768549,21.984469212828305,25.813333333333333,3.8288641205050276,15.82519743392315,35.97166666666666
Amman,2019,8,SO2,31,30,1,4.287359055177831,0.8210603457940902,4.116250000000001,3.780474632573333,4.484625621791814,0.7041509892184807,2.533464575989602,6.15
Amman,2019,9,PM10,30,30,0,38.74960618957971,6.2199461386014105,37.30833333333334,34.612500000000004,39.150000000000006,4.537500000000001,31.8122072868991,57.96666666666667
Amman,2019,9,NO2,30,30,0,26.510767941104596,7.427021365181427,25.391301881962654,21.09541666666667,30.940833333333334,9.845416666666665,15.97714843604119,42.0967391654738
Amman,2019,9,SO2,30,30,0,4.8167785783219985,2.3460120783259684,3.8614201485596906,3.6237500000000002,4.975625000000001,1.3518750000000006,1.662590288737728,13.68370989048915
Amman,2019,10,PM10,31,31,0,47.9719832699865,8.970327765535648,44.384225403784,40.80833333333334,54.30816576711335,13.499832433780014,36.45,70.62622765024217
Amman,2019,10,NO2,31,31,0,28.758174020034506,5.80532529754213,27.50500945720283,25.020916978315125,31.773333333333333,6.752416355018209,18.86,43.45
Amman,2019,10,SO2,31,31,0,6.595458515239777,2.586137645500767,5.710851088002466,4.728951854021357,7.2464564801855404,2.5175046261641834,4.02,14.27005031509584
Amman,2019,11,PM10,30,30,0,74.68166666666666,23.583905541167535,68.975,56.51666666666667,89.66666666666667,33.15,42.25,145.4166666666667
Amman,2019,11,NO2,30,29,1,34.44328739875992,9.86122990206067,32.41666666666666,27.725,43.61666666666667,15.891666666666666,19.67833333333333,51.36666666666667
Amman,2019,11,SO2,30,29,1,15.510235374536517,7.501665842305376,15.6525,9.67726538379391,19.8025,10.125234616206088,5.23,30.80640987175969
